DATE_GMT,TIME_GMT,SETTLEMENT_DATE,SETTLEMENT_PERIOD,EMBEDDED_WIND_FORECAST,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_FORECAST,EMBEDDED_SOLAR_CAPACITY\
2022-04-19T00:00:00,20:30,2022-04-19T00:00:00,43,609,6545,0,13080\
2022-04-19T00:00:00,21:00,2022-04-19T00:00:00,44,607,6545,0,13080\
2022-04-19T00:00:00,21:30,2022-04-19T00:00:00,45,599,6545,0,13080\
2022-04-19T00:00:00,22:00,2022-04-19T00:00:00,46,590,6545,0,13080\
2022-04-19T00:00:00,22:30,2022-04-19T00:00:00,47,585,6545,0,13080\
2022-04-19T00:00:00,23:00,2022-04-19T00:00:00,48,580,6545,0,13080\
2022-04-19T00:00:00,23:30,2022-04-20T00:00:00,1,591,6545,0,13082\
2022-04-20T00:00:00,00:00,2022-04-20T00:00:00,2,602,6545,0,13082\
2022-04-20T00:00:00,00:30,2022-04-20T00:00:00,3,601,6545,0,13082\
2022-04-20T00:00:00,01:00,2022-04-20T00:00:00,4,600,6545,0,13082\
2022-04-20T00:00:00,01:30,2022-04-20T00:00:00,5,605,6545,0,13082\
2022-04-20T00:00:00,02:00,2022-04-20T00:00:00,6,609,6545,0,13082\
2022-04-20T00:00:00,02:30,2022-04-20T00:00:00,7,617,6545,0,13082\
2022-04-20T00:00:00,03:00,2022-04-20T00:00:00,8,624,6545,0,13082\
2022-04-20T00:00:00,03:30,2022-04-20T00:00:00,9,645,6545,0,13082\
2022-04-20T00:00:00,04:00,2022-04-20T00:00:00,10,666,6545,0,13082\
2022-04-20T00:00:00,04:30,2022-04-20T00:00:00,11,688,6545,0,13082\
2022-04-20T00:00:00,05:00,2022-04-20T00:00:00,12,709,6545,0,13082\
2022-04-20T00:00:00,05:30,2022-04-20T00:00:00,13,733,6545,198,13082\
2022-04-20T00:00:00,06:00,2022-04-20T00:00:00,14,756,6545,541,13082\
2022-04-20T00:00:00,06:30,2022-04-20T00:00:00,15,750,6545,1016,13082\
2022-04-20T00:00:00,07:00,2022-04-20T00:00:00,16,744,6545,1634,13082\
2022-04-20T00:00:00,07:30,2022-04-20T00:00:00,17,749,6545,2396,13082\
2022-04-20T00:00:00,08:00,2022-04-20T00:00:00,18,754,6545,3227,13082\
2022-04-20T00:00:00,08:30,2022-04-20T00:00:00,19,784,6545,4058,13082\
2022-04-20T00:00:00,09:00,2022-04-20T00:00:00,20,813,6545,4929,13082\
2022-04-20T00:00:00,09:30,2022-04-20T00:00:00,21,882,6545,5860,13082\
2022-04-20T00:00:00,10:00,2022-04-20T00:00:00,22,951,6545,6708,13082\
2022-04-20T00:00:00,10:30,2022-04-20T00:00:00,23,1022,6545,7323,13082\
